WKT,nome,descrição
"POINT (-38.96839910000001 -3.6072648)",São Gonçalo do Amarante,
"POINT (-38.2720868 -5.2695453)",São João do Jaguaribe,
"POINT (-39.23946069999999 -3.6720473)",São Luís do Curu,
"POINT (-39.373166 -5.5874425)",Senador Pompeu,
"POINT (-40.4650234 -3.3516499)",Senador Sá,
"POINT (-40.35617939999999 -3.6844057)",Sobral,
"POINT (-39.0099963 -5.733074999999999)",Solonópole,
"POINT (-38.1286594 -5.2442316)",Tabuleiro do Norte,
"POINT (-40.3212536 -4.8331595)",Tamboril,
"POINT (-39.7564562 -6.684393699999999)",Tarrafas,
"POINT (-40.2946389 -6.0032698)",Tauá,
"POINT (-39.5790522 -3.9891072)",Tejuçuoca,
"POINT (-40.9927503 -3.730929199999999)",Tianguá,
"POINT (-39.2684399 -3.2781386)",Trairi,
"POINT (-39.4348641 -3.5983777)",Tururu,
"POINT (-40.9195926 -3.8532113)",Ubajara,
"POINT (-38.7008723 -6.6449038)",Umari,
"POINT (-39.3486883 -3.6781939)",Umirim,
"POINT (-39.50815120000001 -3.6210883)",Uruburetama,
"POINT (-40.5596063 -3.314665999999999)",Uruoca,
"POINT (-40.4733312 -4.1958609)",Varjota,
"POINT (-39.2982103 -6.794354800000001)",Várzea Alegre,
"POINT (-41.0896531 -3.5679239)",Viçosa do Ceará,
